iter	MultiClass
0	1.820798783
1	1.721475212
2	1.633627327
3	1.562018022
4	1.497276172
5	1.440443524
6	1.391374795
7	1.346799913
8	1.305823492
9	1.269581062
10	1.235221805
11	1.20420234
12	1.175484146
13	1.149836543
14	1.123828417
15	1.100287988
16	1.078549018
17	1.058629187
18	1.039440395
19	1.02244664
20	1.006176158
21	0.9906773795
22	0.9764778656
23	0.9621695031
24	0.9493412815
25	0.9374903143
26	0.9261425412
27	0.9133096306
28	0.9033715851
29	0.8946777651
30	0.8852290002
31	0.8758717112
32	0.8651309842
33	0.8548774623
34	0.8471123914
35	0.8394893771
36	0.8326670457
37	0.8246459961
38	0.8169686344
39	0.8109871891
40	0.805085151
41	0.8011428487
42	0.7953913999
43	0.7897549492
44	0.7845442842
45	0.7789981563
46	0.7746384474
47	0.7702788154
48	0.7654703366
49	0.7607079801
50	0.7565293781
51	0.7520781933
52	0.7458079456
53	0.7430506017
54	0.7401539685
55	0.7351899039
56	0.7312308439
57	0.7273053763
58	0.7243366386
59	0.7200810891
60	0.7159017183
61	0.7126125076
62	0.7095170874
63	0.7068746648
64	0.7043550045
65	0.7000907687
66	0.6965823234
67	0.6933206323
68	0.6891683968
69	0.6865971563
70	0.6840367545
71	0.681605034
72	0.6795549753
73	0.6767229133
74	0.6746178154
75	0.6716482321
76	0.669365794
77	0.6673959881
78	0.6654359448
79	0.6624537547
80	0.6596419865
81	0.6561273916
82	0.6536127278
83	0.6515018646
84	0.6497440674
85	0.6479436072
86	0.646324715
87	0.6442771162
88	0.6431076088
89	0.6412631018
90	0.639522908
91	0.6375413409
92	0.6346998239
93	0.6325972242
94	0.6303894658
95	0.6280560241
96	0.6260836431
97	0.6237698034
98	0.622094642
99	0.6199185542
100	0.6181678292
101	0.6165467077
102	0.6142736478
103	0.6119157229
104	0.6091534593
105	0.607738197
106	0.6063030253
107	0.6047522787
108	0.6029561617
109	0.6009827045
110	0.5994561721
111	0.5975460177
112	0.5961125756
113	0.5935388752
114	0.5920297157
115	0.5908543277
116	0.5895548323
117	0.5877678244
118	0.5861472411
119	0.5842924719
120	0.5826298404
121	0.5800329252
122	0.5779776009
123	0.576508952
124	0.5753447487
125	0.5737013348
126	0.5720005372
127	0.5706438117
128	0.568969496
129	0.5679594948
130	0.566372427
131	0.5645482906
132	0.5625834045
133	0.5610090587
134	0.5604087388
135	0.5592153631
136	0.5579861658
137	0.5569474535
138	0.554978916
139	0.5534782506
140	0.5515322745
141	0.5503929004
142	0.5491972955
143	0.5475573792
144	0.5462830974
145	0.544626923
146	0.5432115454
147	0.5415975345
148	0.5399995126
149	0.53876455
150	0.537864858
151	0.5364668147
152	0.5345459369
153	0.5332888356
154	0.5309429409
155	0.5299300571
156	0.5289267821
157	0.527627402
158	0.5259999772
159	0.5243604453
160	0.5227829864
161	0.5214541649
162	0.5198936174
163	0.518589087
164	0.5174182344
165	0.515961808
166	0.5145771786
167	0.5139183602
168	0.5122068775
169	0.5108275906
170	0.5095799444
171	0.5079859198
172	0.5068368599
173	0.505480173
174	0.5039364217
175	0.5026802428
176	0.5013207885
177	0.5001033139
178	0.4988341824
179	0.4976714396
180	0.4970300324
181	0.4956941773
182	0.4946309049
183	0.4935041375
184	0.4920233815
185	0.4910644992
186	0.4898773116
187	0.4882886296
188	0.4869622295
189	0.4858375376
190	0.4846229457
191	0.4830555952
192	0.4815290244
193	0.4806777993
194	0.4797068099
195	0.4789774244
196	0.4782435804
197	0.4770721512
198	0.4760804068
199	0.4747696115
200	0.4737833249
201	0.4726545973
202	0.4715093425
203	0.4706579636
204	0.4692436237
205	0.467750876
206	0.4664254369
207	0.465466324
208	0.4641289315
209	0.4632438448
210	0.462358566
211	0.461822356
212	0.4604022509
213	0.4593619243
214	0.4584208376
215	0.4574438138
216	0.4565387793
217	0.4552593087
218	0.4543884431
219	0.4534070762
220	0.4520125689
221	0.4511730665
222	0.4501272821
223	0.4491324629
224	0.4485613537
225	0.44761012
226	0.4468357269
227	0.4458435981
228	0.444610442
229	0.4433867409
230	0.4426837604
231	0.4417378692
232	0.4408821855
233	0.4403691904
234	0.4394253363
235	0.4383583357
236	0.4374496883
237	0.4363429072
238	0.4358788786
239	0.4344285633
240	0.433664048
241	0.4328033678
242	0.4320840139
243	0.4310174361
244	0.4298981251
245	0.4289405496
246	0.4282517902
247	0.4272555873
248	0.4262829836
249	0.4254876817
250	0.4244694554
251	0.4234359318
252	0.4226065763
253	0.4219552528
254	0.4210318846
255	0.420073502
256	0.4193172119
257	0.418658355
258	0.4177354097
259	0.4168040086
260	0.4157480389
261	0.4151299234
262	0.4143351596
263	0.4130179071
264	0.4122287548
265	0.411405818
266	0.4104787985
267	0.4097039057
268	0.408554154
269	0.4075526471
270	0.4069028609
271	0.405647297
272	0.4048938511
273	0.4042394143
274	0.4028286105
275	0.4023458255
276	0.4014608157
277	0.4006636689
278	0.4000013145
279	0.3991084255
280	0.3981916682
281	0.3975998424
282	0.3963977804
283	0.3954632276
284	0.3945048066
285	0.3939153638
286	0.3930799739
287	0.3924883403
288	0.3916758962
289	0.3911943796
290	0.3902092845
291	0.3894771316
292	0.3886335935
293	0.3875700521
294	0.3866729352
295	0.3858689469
296	0.3849594923
297	0.3842942553
298	0.3838163515
299	0.3830932694
300	0.3824557826
301	0.3815889911
302	0.3809621508
303	0.379724344
304	0.3791901327
305	0.37859258
306	0.3777231365
307	0.3765446353
308	0.3757564823
309	0.3747204605
310	0.3737224512
311	0.3730772773
312	0.3723239851
313	0.3719437068
314	0.3714125703
315	0.3705243704
316	0.3697586636
317	0.3689877296
318	0.3683505503
319	0.3677240559
320	0.3671306543
321	0.3661326834
322	0.3652850711
323	0.3645634495
324	0.3640361181
325	0.3633821809
326	0.3625442928
327	0.3620508996
328	0.3613722102
329	0.3608187044
330	0.3601394384
331	0.3593896054
332	0.358773527
333	0.3577270508
334	0.3569962432
335	0.3563439588
336	0.3556084621
337	0.3549695916
338	0.3540547945
339	0.3534104278
340	0.3526434526
341	0.3520612356
342	0.3514614153
343	0.3507641233
344	0.3499153964
345	0.3494574405
346	0.3488661913
347	0.3483164905
348	0.3477679428
349	0.3470663844
350	0.3462988712
351	0.345543196
352	0.3446867436
353	0.343650568
354	0.3428649902
355	0.3422026358
356	0.3419534602
357	0.3411048101
358	0.3402982851
359	0.3396305882
360	0.3388462787
361	0.3382502635
362	0.3375684608
363	0.3367755803
364	0.3360982362
365	0.3354652078
366	0.3348516277
367	0.33439298
368	0.3336461449
369	0.3325159183
370	0.3314373103
371	0.3305415387
372	0.3297523864
373	0.3294422524
374	0.3290276131
375	0.3286239662
376	0.328078109
377	0.3277698584
378	0.3270269053
379	0.3266210292
380	0.3258097766
381	0.3248751854
382	0.3240666233
383	0.3233165981
384	0.3228231281
385	0.3224927388
386	0.3220451989
387	0.3210059101
388	0.3202426247
389	0.3195305735
390	0.3188589562
391	0.3185444022
392	0.3181176174
393	0.3174152134
394	0.3169694992
395	0.3162440533
396	0.3156254189
397	0.3149410027
398	0.3143540005
399	0.3134694135
400	0.3126696916
401	0.311896144
402	0.3116330164
403	0.3108671558
404	0.3104687746
405	0.3098355925
406	0.3091876513
407	0.3087143213
408	0.3084289781
409	0.3079491526
410	0.3073880174
411	0.3068191375
412	0.3064583075
