iter	Passed	Remaining
0	44	44595
1	65	32658
2	83	27627
3	102	25456
4	120	23996
5	135	22463
6	147	20965
7	160	19855
8	172	18978
9	188	18683
10	204	18345
11	228	18777
12	255	19405
13	269	19005
14	280	18448
15	293	18072
16	310	17978
17	325	17762
18	337	17437
19	363	17814
20	377	17605
21	387	17213
22	397	16864
23	406	16540
24	415	16208
25	423	15882
26	433	15625
27	443	15394
28	449	15061
29	456	14761
30	470	14697
31	484	14662
32	503	14749
33	601	17086
34	649	17917
35	663	17762
36	673	17523
37	683	17294
38	692	17064
39	701	16844
40	711	16649
41	721	16458
42	731	16284
43	742	16134
44	752	15978
45	761	15798
46	771	15639
47	781	15492
48	791	15366
49	803	15265
50	818	15237
51	831	15164
52	850	15195
53	880	15423
54	910	15638
55	925	15608
56	945	15639
57	969	15738
58	989	15774
59	1002	15701
60	1018	15680
61	1031	15602
62	1042	15499
63	1054	15420
64	1064	15308
65	1074	15206
66	1096	15272
67	1129	15478
68	1169	15781
69	1186	15762
70	1196	15654
71	1207	15567
72	1218	15479
73	1229	15389
74	1242	15320
75	1264	15373
76	1286	15422
77	1313	15529
78	1327	15479
79	1348	15503
80	1368	15529
81	1382	15475
82	1394	15406
83	1410	15380
84	1432	15415
85	1447	15386
86	1465	15380
87	1479	15337
88	1498	15337
89	1513	15301
90	1525	15235
91	1536	15166
92	1552	15144
93	1568	15113
94	1593	15177
95	1631	15366
96	1654	15404
97	1668	15354
98	1690	15389
99	1703	15327
100	1713	15249
101	1724	15185
102	1741	15169
103	1755	15121
104	1768	15077
105	1788	15085
106	1808	15097
107	1825	15073
108	1843	15071
109	1861	15059
110	1886	15112
111	1898	15048
112	1918	15062
113	1943	15103
114	1968	15150
115	1986	15139
116	2005	15136
117	2019	15097
118	2044	15132
119	2069	15179
120	2089	15180
121	2117	15241
122	2138	15248
123	2154	15220
124	2179	15254
125	2193	15217
126	2207	15177
127	2233	15218
128	2258	15248
129	2283	15282
130	2310	15329
131	2339	15384
132	2353	15345
133	2366	15293
134	2379	15247
135	2390	15187
136	2401	15126
137	2412	15067
138	2434	15079
139	2444	15015
140	2463	15005
141	2479	14979
142	2496	14964
143	2511	14928
144	2526	14895
145	2541	14866
146	2557	14842
147	2585	14884
148	2613	14928
149	2632	14915
150	2654	14923
151	2669	14891
152	2684	14859
153	2695	14810
154	2707	14758
155	2717	14704
156	2728	14650
157	2739	14596
158	2751	14553
159	2761	14500
160	2782	14502
161	2804	14508
162	2836	14562
163	2866	14611
164	2893	14643
165	2907	14606
166	2920	14566
167	2930	14514
168	2942	14469
169	2959	14451
170	2979	14442
171	2993	14411
172	3021	14444
173	3037	14421
174	3054	14397
175	3070	14373
176	3081	14327
177	3095	14294
178	3107	14250
